Type;FSV-30;
Version;1.71 SP3;
Date;06.Aug 25;
Mode;ANALYZER;
Center Freq;11000000000.000000;Hz
Freq Offset;0.000000;Hz
Span;22000000000.000000;Hz
x-Axis;LIN;
Start;0.000000;Hz
Stop;22000000000.000000;Hz
Ref Level;-9.000000;dBm
Level Offset;0.000000;dB
Ref Position;100.000000;%
y-Axis;LOG;
Level Range;100.000000;dB
Rf Att;10.000000;dB
El Att;0.000000;dB
RBW;3000000.000000;Hz
VBW;5000.000000;Hz
SWT;1.440000;s
Trace Mode;CLR/WRITE;
Detector;AUTOPEAK;
Sweep Count;0;
Trace 1:;;
x-Unit;Hz;
y-Unit;dBm;
Preamplifier;OFF;
Transducer;OFF;
465666666.66666746;-76.214981079101563;-76.214981079101563
469333333.33333415;-76.065513610839844;-76.065513610839844
473000000.00000083;-76.2088623046875;-76.2088623046875
476666666.66666752;-75.595909118652344;-75.595909118652344
480333333.33333421;-75.835220336914063;-75.835220336914063
484000000.00000089;-76.06719970703125;-76.06719970703125
487666666.66666758;-75.71209716796875;-75.71209716796875
491333333.33333427;-75.597381591796875;-75.597381591796875
495000000.00000095;-75.698028564453125;-75.698028564453125
498666666.66666764;-75.300712585449219;-75.300712585449219
502333333.33333433;-75.385398864746094;-75.385398864746094
506000000.00000101;-75.00933837890625;-75.00933837890625
509666666.6666677;-75.332962036132813;-75.332962036132813
513333333.33333439;-74.9483642578125;-74.9483642578125
517000000.00000107;-74.874008178710938;-74.874008178710938
520666666.66666776;-74.877311706542969;-74.877311706542969
524333333.33333445;-74.800018310546875;-74.800018310546875
528000000.00000113;-75.125869750976563;-75.125869750976563
531666666.66666782;-75.254814147949219;-75.254814147949219
535333333.33333451;-75.384597778320313;-75.384597778320313
539000000.00000119;-75.529609680175781;-75.529609680175781
542666666.66666782;-75.450180053710938;-75.450180053710938
546333333.33333445;-75.74774169921875;-75.74774169921875
550000000.00000107;-76.154228210449219;-76.154228210449219
553666666.6666677;-75.826126098632813;-75.826126098632813
557333333.33333433;-75.66796875;-75.66796875
561000000.00000095;-76.028221130371094;-76.028221130371094
564666666.66666758;-76.02362060546875;-76.02362060546875
568333333.33333421;-76.316055297851563;-76.316055297851563
572000000.00000083;-76.315177917480469;-76.315177917480469
575666666.66666746;-76.117034912109375;-76.117034912109375
579333333.33333409;-76.013092041015625;-76.013092041015625
583000000.00000072;-75.923728942871094;-75.923728942871094
586666666.66666734;-76.141044616699219;-76.141044616699219
590333333.33333397;-76.2342529296875;-76.2342529296875
594000000.0000006;-76.210906982421875;-76.210906982421875
597666666.66666722;-76.021202087402344;-76.021202087402344
601333333.33333385;-76.026954650878906;-76.026954650878906
605000000.00000048;-76.121734619140625;-76.121734619140625
608666666.6666671;-75.900863647460938;-75.900863647460938
612333333.33333373;-75.508804321289062;-75.508804321289062
616000000.00000036;-75.689498901367188;-75.689498901367188
619666666.66666698;-75.255546569824219;-75.255546569824219
623333333.33333361;-75.426353454589844;-75.426353454589844
627000000.00000024;-75.445579528808594;-75.445579528808594
630666666.66666687;-74.856117248535156;-74.856117248535156
634333333.33333349;-74.803855895996094;-74.803855895996094
638000000.00000012;-74.826187133789063;-74.826187133789063
641666666.66666675;-74.221969604492188;-74.221969604492188
645333333.33333337;-74.164932250976563;-74.164932250976563
649000000;-74.137413024902344;-74.137413024902344
652666666.66666663;-74.331123352050781;-74.331123352050781
656333333.33333325;-74.40911865234375;-74.40911865234375
659999999.99999988;-74.32391357421875;-74.32391357421875
663666666.66666651;-74.716194152832031;-74.716194152832031
667333333.33333313;-74.997207641601563;-74.997207641601563
670999999.99999976;-74.771499633789063;-74.771499633789063
674666666.66666639;-74.897956848144531;-74.897956848144531
678333333.33333302;-74.817337036132813;-74.817337036132813
681999999.99999964;-75.219955444335938;-75.219955444335938
685666666.66666627;-75.524612426757813;-75.524612426757813
689333333.3333329;-75.584770202636719;-75.584770202636719
692999999.99999952;-75.791496276855469;-75.791496276855469
696666666.66666615;-75.90618896484375;-75.90618896484375
700333333.33333278;-75.957138061523438;-75.957138061523438
703999999.9999994;-75.754776000976563;-75.754776000976563
707666666.66666603;-75.720382690429688;-75.720382690429688
711333333.33333266;-75.543922424316406;-75.543922424316406
714999999.99999928;-75.97882080078125;-75.97882080078125
718666666.66666591;-75.754531860351563;-75.754531860351563
722333333.33333254;-75.375;-75.375
725999999.99999917;-75.516448974609375;-75.516448974609375
729666666.66666579;-75.611785888671875;-75.611785888671875
733333333.33333242;-75.504692077636719;-75.504692077636719
736999999.99999905;-75.583534240722656;-75.583534240722656
740666666.66666567;-75.178886413574219;-75.178886413574219
744333333.3333323;-75.129035949707031;-75.129035949707031
747999999.99999893;-74.819908142089844;-74.819908142089844
751666666.66666555;-74.805870056152344;-74.805870056152344
755333333.33333218;-74.204582214355469;-74.204582214355469
758999999.99999881;-74.1160888671875;-74.1160888671875
762666666.66666543;-74.303596496582031;-74.303596496582031
766333333.33333206;-73.930870056152344;-73.930870056152344
769999999.99999869;-73.896171569824219;-73.896171569824219
773666666.66666532;-73.526840209960938;-73.526840209960938
777333333.33333194;-73.466888427734375;-73.466888427734375
780999999.99999857;-73.3902587890625;-73.3902587890625
784666666.6666652;-73.508277893066406;-73.508277893066406
788333333.33333182;-73.709243774414063;-73.709243774414063
791999999.99999845;-73.738594055175781;-73.738594055175781
795666666.66666508;-74.053169250488281;-74.053169250488281
799333333.3333317;-74.4859619140625;-74.4859619140625
802999999.99999833;-73.952247619628906;-73.952247619628906
806666666.66666496;-74.033988952636719;-74.033988952636719
810333333.33333158;-74.867599487304688;-74.867599487304688
813999999.99999821;-74.787956237792969;-74.787956237792969
817666666.66666484;-74.784339904785156;-74.784339904785156
821333333.33333147;-74.650787353515625;-74.650787353515625
824999999.99999809;-75.150901794433594;-75.150901794433594
828666666.66666472;-75.244094848632812;-75.244094848632812
